,en,vn,thailand,indonesia
login.login_btn,Sign in,Đăng nhập,เข้าสู่ระบบ,Masuk
login.email,Username/Email,Email/Tài khoản,อีเมล/บัญชีผู้ใช้,Akun email
login.password,Password,Mật khẩu,รหัสผ่าน,Kata sandi
login.forgot_pass,Forgot password,Quên mật khẩu,ลืมรหัสผ่าน,Lupa kata sandi
login.redirectToDashboard,Welcome. You will be redirect to the dashboard momentarily.,Xin chào. Bạn sẽ được chuyển về trang chủ trong giây lát.,ยินดีต้อนรับ คุณจะถูกเปลี่ยนเส้นทางไปยังหน้าแรกในไม่ช้า,Halo. Anda akan diarahkan ke beranda segara
login.redirectToLogin,Please wait. You will be redirect to the login page momentarily.,Vui lòng chờ. Bạn sẽ được chuyển sang trang đăng nhập trong giây lát.,โปรดรอ. คุณจะถูกเปลี่ยนเส้นทางไปยังหน้าเข้าสู่ระบบชั่วขณะ,Mohon tunggu sebentar. Anda akan diarahkan ke halaman Masuk
login.notPermission,Sorry. you don't have permission to access this page.,Xin lỗi. Bạn không có quyền truy cập trang này.,ขอโทษ คุณไม่ได้รับอนุญาตให้เข้าถึงหน้านี้,Maaf. Anda tidak dapat mengakses halaman ini.
login.contactAdmin,Please contact the manager.,Vui lòng liên hệ quản lý.,โปรดติดต่อผู้จัดการ,Silakan hubungi manajemen
login.tryAgain,Try again,Thử lại,ลองอีกครั้ง,Coba lagi
login.logout_btn,Logout,Đăng xuất,ออกจากระบบ,Keluar
login.login_btn_via_id,Login via Gobiz ID,Đăng nhập bằng Gobiz ID,เข้าสู่ระบบด้วย Gobiz ID,Masuk dengan Akun Gobiz ID
login.go_back,Go back,Quay lại,Go back,Go back
contact.page_title,Leads,Khách hàng tiềm năng,ลูกค้าเป้าหมาย,Pelanggan potensial
contact.contact_customer,Leads,Khách hàng tiềm năng,ลูกค้าเป้าหมาย,Pelanggan potensial
contact.fullname,Fullname,Họ tên,ชื่อเต็ม,Nama Lengkap
contact.phone,Phone number,Số điện thoại ,หมายเลขโทรศัพท์,Nomor Telepon
contact.add_contact,Add Contact,Thêm liên hệ,เพิ่มผู้ติดต่อ,Kontak lain
contact.page,Page,Trang,หน้า,Halaman
contact.page_change,page,trang,หน้า,halaman
contact.search,Search,Tìm kiếm,ค้นหา,Pencarian 
contact.created_at,Created at,Ngày thêm,สร้างที่,Tambah tanggal
contact.assign_to,Assigned to,Phụ trách,ได้รับมอบหมายให้,Bertanggung Jawab
contact.select_assign_to,Search assigned to,Tìm kiếm người phụ trách,Search assigned to,Search assigned to
contact.select_assign_by,Search assigned by,Tìm kiếm người phân liên hệ,Search assigned by,Search assigned by
contact.assign_to_title,Assign to,Phụ trách,มอบหมายให้,Bertanggung Jawab
contact.unassign_to,Unassign,Chưa phụ trách,ยังไม่ได้มอบหมาย,Belum Bertanggung Jawab
contact.unassign_btn,Unassign,Trả contact ,ยกเลิกการมอบหมาย,Kembalikan Kontak
contact.assign_contacts,Get Contact,Nhận liên hệ,กำหนดผู้ติดต่อ,Bagi Kontak
contact.calls,Calls,Lần gọi,โทร,Kali Telepon
contact.stage,Contact State,Trạng thái,สถานะ,Status 
contact.uncheck,Uncheck,Bỏ chọn,ไม่ถูกเลือก,Batal Pelihan
contact.status,Status,Cuộc gọi,โทร,Panggilan
contact.select_status,Select status,Chọn cuộc gọi,เลือกโทร,Pelih Panggilan
contact.entry,contacts,số điện thoại,หมายเลขโทรศัพท์,Nomor Telepon
contact.filter,Filter,Bộ lọc,กรอง/ฟิลเตอร์,Menyaring
contact.clear,Clear all filters, Xóa lọc,ล้างตัวกรองทั้งหมด,Hapus Menyaring
contact.cancel,Cancel,Huỷ,ยกเลิก,Batal
contact.ok,OK,OK,ตกลง,Setuju
contact.period,Periods,Khoảng thời gian,ระยะเวลา,Kira-kira Waktu
contact.quick_select,Quick select,Chọn nhanh,เลือกด่วน,Pelih Cepat
contact.day,day,ngày,วัน,Tanggal
contact.days,days,ngày,วัน,Tanggal
contact.week,week,tuần,สัปดาห์,Minggu
contact.weeks,weeks,tuần,สัปดาห์,Minggu
contact.month,month,tháng,เดือน,Bulan
contact.month,months,tháng,เดือน,Bulan
